ds,y
2018-01-01,68
2018-02-01,66
2018-03-01,60
2018-04-01,55
2018-05-01,58
2018-06-01,55
2018-07-01,54
2018-08-01,65
2018-09-01,59
2018-10-01,61
2018-11-01,69
2018-12-01,77
2019-01-01,68
2019-02-01,74
2019-03-01,56
2019-04-01,51
2019-05-01,54
2019-06-01,61
2019-07-01,71
2019-08-01,77
2019-09-01,73
2019-10-01,72
2019-11-01,84
2019-12-01,96
2020-01-01,83
2020-02-01,82
2020-03-01,66
2020-04-01,88
2020-05-01,89
2020-06-01,84
2020-07-01,84
2020-08-01,77
2020-09-01,70
2020-10-01,80
2020-11-01,97
2020-12-01,94
2021-01-01,94
2021-02-01,100
2021-03-01,73
2021-04-01,70
2021-05-01,74
2021-06-01,68
2021-07-01,71
2021-08-01,81
2021-09-01,81
2021-10-01,78
2021-11-01,96
2021-12-01,98
2022-01-01,75
2022-02-01,70
2022-03-01,54
2022-04-01,57
2022-05-01,56
2022-06-01,58
2022-07-01,67
2022-08-01,57
2022-09-01,57
2022-10-01,71
2022-11-01,77
2022-12-01,75
2023-01-01,69
2023-02-01,65
2023-03-01,50
2023-04-01,51
2023-05-01,49
2023-06-01,50
2023-07-01,56
2023-08-01,49
2023-09-01,46
2023-10-01,57
2023-11-01,71
2023-12-01,61
2024-01-01,57
2024-02-01,62
2024-03-01,50
2024-04-01,49
2024-05-01,49
2024-06-01,51
2024-07-01,53
2024-08-01,51
2024-09-01,49
2024-10-01,55
2024-11-01,62
2024-12-01,63
2025-01-01,53
2025-02-01,56
2025-03-01,41
2025-04-01,41
2025-05-01,44
2025-06-01,43
2025-07-01,49
2025-08-01,53
2025-09-01,46
2025-10-01,54
2025-11-01,64
2025-12-01,58
